Kosten nach Verbesserung: 3.111275572297222E7
Variable Kosten: 12755.722972222138
Anzahl Umlaeufe: 74
Ersparnis: 2.1499600264427774E7
Anzahl Ladestationen: 6
Gesamtverbrauch in kWh: 20324.520499999846
Zeitdauer: 536.3613888888889
Anzahl Servicefahrten: 867

*;;;;;;;;;;
* Ergebnis;;;;;;;;;;
*;;;;;;;;;;
Ergebnis: Iteration; Kosten; Fahrzeuge; Ladestationen
558;3.56130021081E7;79;16
559;3.56130021081E7;79;16
560;3.56130021081E7;79;16
561;3.56130021081E7;79;16
562;3.56130021081E7;79;16
563;3.56130021081E7;79;16
564;3.56130021081E7;79;16
565;3.56130021081E7;79;16
566;3.56130021081E7;79;16
567;3.56130021081E7;79;16
568;3.56130021081E7;79;16
569;3.56130021081E7;79;16
570;3.56130021081E7;79;16
571;3.56130021081E7;79;16
572;3.56130021081E7;79;16
573;3.56130021081E7;79;16
574;3.56130021081E7;79;16
575;3.56130021081E7;79;16
576;3.56130021081E7;79;16
577;3.56130021081E7;79;16
578;3.56130021081E7;79;16
579;3.56130021081E7;79;16
580;3.56130021081E7;79;16
581;3.56130021081E7;79;16
582;3.56130021081E7;79;16
583;3.56130021081E7;79;16
584;3.56130021081E7;79;16
585;3.56130021081E7;79;16
586;3.56130021081E7;79;16
587;3.56130021081E7;79;16
588;3.56130021081E7;79;16
589;3.56130021081E7;79;16
590;3.56130021081E7;79;16
591;3.56130021081E7;79;16
592;3.56130021081E7;79;16
593;3.56130021081E7;79;16
594;3.56130021081E7;79;16
595;3.56130021081E7;79;16
596;3.56130021081E7;79;16
597;3.56130021081E7;79;16
598;3.56130021081E7;79;16
599;3.56130021081E7;79;16
600;3.56130021081E7;79;16
601;3.56130021081E7;79;16
602;3.56130021081E7;79;16
603;3.56130021081E7;79;16
604;3.56130021081E7;79;16
605;3.56130021081E7;79;16
606;3.56130021081E7;79;16
607;3.56130021081E7;79;16
608;3.56130021081E7;79;16
609;3.56130021081E7;79;16
610;3.56130021081E7;79;16
611;3.56130021081E7;79;16
612;3.56130021081E7;79;16
613;3.56130021081E7;79;16
614;3.56130021081E7;79;16
615;3.56130021081E7;79;16
616;3.56130021081E7;79;16
617;3.56130021081E7;79;16
618;3.56130021081E7;79;16
619;3.56130021081E7;79;16
620;3.56130021081E7;79;16
621;3.56130021081E7;79;16
622;3.56130021081E7;79;16
623;3.56130021081E7;79;16
624;3.56130021081E7;79;16
625;3.56130021081E7;79;16
626;3.56130021081E7;79;16
627;3.56130021081E7;79;16
628;3.56130021081E7;79;16
629;3.56130021081E7;79;16
630;3.56130021081E7;79;16
631;3.56130021081E7;79;16
632;3.56130021081E7;79;16
633;3.56130021081E7;79;16
634;3.56130021081E7;79;16
635;3.56130021081E7;79;16
636;3.56130021081E7;79;16
637;3.56130021081E7;79;16
638;3.56130021081E7;79;16
639;3.56130021081E7;79;16
640;3.56130021081E7;79;16
641;3.56130021081E7;79;16
642;3.56130021081E7;79;16
643;3.56130021081E7;79;16
644;3.56130021081E7;79;16
645;3.56130021081E7;79;16
646;3.56130021081E7;79;16
647;3.56130021081E7;79;16
648;3.56130021081E7;79;16
649;3.56130021081E7;79;16
650;3.56130021081E7;79;16
651;3.56130021081E7;79;16
652;3.56130021081E7;79;16
653;3.56130021081E7;79;16
654;3.56130021081E7;79;16
655;3.56130021081E7;79;16
656;3.56130021081E7;79;16
657;3.56130021081E7;79;16
658;3.56130021081E7;79;16
659;3.56130021081E7;79;16
660;3.56130021081E7;79;16
661;3.56130021081E7;79;16
662;3.56130021081E7;79;16
663;3.56130021081E7;79;16
664;3.56130021081E7;79;16
665;3.56130021081E7;79;16
666;3.56130021081E7;79;16
667;3.56130021081E7;79;16
668;3.56130021081E7;79;16
669;3.56130021081E7;79;16
670;3.56130021081E7;79;16
671;3.56130021081E7;79;16
672;3.56130021081E7;79;16
673;3.56130021081E7;79;16
674;3.56130021081E7;79;16
675;3.56130021081E7;79;16
