*;;;;;;;;;;
* Ergebnis;;;;;;;;;;
*;;;;;;;;;;
Ergebnis: Iteration; Kosten
385;3.661291431397222E7
386;3.661291431397222E7
387;3.661291431397222E7
388;3.661291431397222E7
389;3.661291431397222E7
390;3.661291431397222E7
391;3.661291431397222E7
392;3.636302705798333E7
393;3.636302705798333E7
394;3.636302705798333E7
395;3.6363026336211115E7
396;3.636301539863333E7
397;3.636300501585556E7
398;3.636300501585556E7
399;3.636300501585556E7
400;3.636300501585556E7
401;3.636300501585556E7
402;3.636300501585556E7
403;3.636300501585556E7
404;3.636300501585556E7
405;3.611300813257222E7
406;3.611300376162222E7
407;3.611300376162222E7
408;3.611300376162222E7
409;3.611300376162222E7
410;3.611300376162222E7
411;3.611300376162222E7
412;3.611300376162222E7
413;3.611300376162222E7
414;3.611300376162222E7
415;3.611300376162222E7
416;3.611300376162222E7
417;3.611300376162222E7
418;3.611300376162222E7
419;3.611300376162222E7
420;3.611300376162222E7
421;3.611300376162222E7
422;3.611300376162222E7
423;3.611300376162222E7
424;3.611300376162222E7
425;3.611300376162222E7
426;3.611300376162222E7
427;3.611300376162222E7
428;3.611300376162222E7
429;3.611300376162222E7
430;3.611300376162222E7
431;3.611300376162222E7
432;3.611300376162222E7
433;3.611300376162222E7
434;3.611300376162222E7
435;3.611300376162222E7
436;3.611300376162222E7
437;3.611300376162222E7
438;3.611300376162222E7
439;3.611300376162222E7
440;3.611300376162222E7
441;3.611300376162222E7
442;3.611300376162222E7
443;3.611300376162222E7
444;3.611300376162222E7
445;3.611300376162222E7
446;3.611300376162222E7
447;3.611300376162222E7
448;3.611300376162222E7
449;3.611300376162222E7
450;3.611300376162222E7
451;3.611300376162222E7
452;3.611300376162222E7
453;3.611300376162222E7
454;3.611300376162222E7
455;3.611300376162222E7
456;3.611300376162222E7
457;3.611300376162222E7
458;3.611300376162222E7
459;3.611300376162222E7
460;3.611300376162222E7
461;3.611300376162222E7
462;3.611300376162222E7
463;3.611300376162222E7
464;3.611300376162222E7
465;3.611300376162222E7
466;3.611300376162222E7
467;3.611300376162222E7
468;3.611300376162222E7
469;3.611300376162222E7
470;3.611300376162222E7
471;3.611300376162222E7
472;3.611300376162222E7
473;3.611300376162222E7
474;3.611300376162222E7
475;3.611300376162222E7
476;3.611300376162222E7
477;3.611300376162222E7
478;3.611300376162222E7
479;3.611300376162222E7
480;3.611300376162222E7
481;3.611300376162222E7
482;3.611300376162222E7
483;3.611300376162222E7
484;3.611300376162222E7
485;3.611300376162222E7
486;3.611300376162222E7
487;3.611300376162222E7
488;3.611300376162222E7
489;3.611300376162222E7
490;3.611300376162222E7
491;3.611300372136111E7
492;3.611298921687222E7
493;3.611298921687222E7
494;3.611298921687222E7
495;3.611298921687222E7
496;3.611298921687222E7
497;3.611298921687222E7
498;3.611298921687222E7
499;3.611298921687222E7
500;3.611298921687222E7
501;3.611298921687222E7
502;3.611298921687222E7
503;3.611298921687222E7
504;3.611298921687222E7
505;3.611298921687222E7
506;3.6112973645333335E7
507;3.6112973645333335E7
508;3.6112973645333335E7
509;3.611297285521111E7
510;3.611297051933889E7
511;3.611296620926111E7
512;3.611296178092778E7
513;3.611296178092778E7
514;3.611295453346667E7
515;3.6112951881172225E7
516;3.6112951881172225E7
517;3.6112951881172225E7
518;3.6112951881172225E7
519;3.6112951881172225E7
520;3.6112951881172225E7
521;3.6112951881172225E7
522;3.6112951881172225E7
523;3.6112951881172225E7
524;3.6112951881172225E7
525;3.6112951881172225E7
526;3.6112951881172225E7
527;3.6112951881172225E7
528;3.6112951881172225E7
529;3.6112951881172225E7
530;3.6112951881172225E7
531;3.6112951881172225E7
532;3.6112951881172225E7
533;3.6112951881172225E7
534;3.6112951881172225E7
535;3.6112951881172225E7
536;3.6112951881172225E7
537;3.6112951881172225E7
538;3.6112951881172225E7
539;3.6112951881172225E7
540;3.6112951881172225E7
541;3.6112951881172225E7
542;3.6112951881172225E7
543;3.6112951881172225E7
544;3.6112951881172225E7
545;3.6112951881172225E7
546;3.6112951881172225E7
547;3.6112951881172225E7
548;3.6112951881172225E7
549;3.6112951881172225E7
550;3.6112951881172225E7
551;3.6112951881172225E7
552;3.6112951881172225E7
553;3.6112951881172225E7
554;3.6112951881172225E7
555;3.6112951881172225E7
556;3.6112951881172225E7
557;3.6112951881172225E7
558;3.6112951881172225E7
559;3.6112951881172225E7
560;3.6112951881172225E7
561;3.6112951881172225E7
562;3.6112951881172225E7
563;3.6112951881172225E7
564;3.6112951881172225E7
565;3.6112951881172225E7
566;3.6112951881172225E7
567;3.6112951881172225E7
568;3.6112951881172225E7
569;3.6112951881172225E7
570;3.6112951881172225E7
571;3.6112951881172225E7
572;3.6112951881172225E7
573;3.6112951881172225E7
574;3.6112951881172225E7
575;3.6112951881172225E7
576;3.6112951881172225E7
577;3.6112951881172225E7
578;3.6112951881172225E7
579;3.6112951881172225E7
580;3.6112951881172225E7
581;3.6112951881172225E7
582;3.6112951881172225E7
583;3.6112951881172225E7
584;3.6112951881172225E7
585;3.6112951881172225E7
586;3.6112951881172225E7
587;3.6112951881172225E7
588;3.6112951881172225E7
589;3.6112951881172225E7
590;3.6112951881172225E7
591;3.6112951881172225E7
592;3.6112951881172225E7
593;3.6112951881172225E7
594;3.6112951881172225E7
595;3.6112951881172225E7
596;3.6112951881172225E7
597;3.6112951881172225E7
598;3.6112951881172225E7
599;3.6112951881172225E7
600;3.6112951881172225E7
601;3.6112951881172225E7
602;3.6112951881172225E7
603;3.6112951881172225E7
604;3.6112951881172225E7
605;3.6112951881172225E7
606;3.6112951881172225E7
607;3.6112951881172225E7
608;3.6112951881172225E7
609;3.6112951881172225E7
610;3.6112951881172225E7
611;3.6112951881172225E7
612;3.6112951881172225E7
613;3.6112951881172225E7
614;3.6112951881172225E7
615;3.6112951881172225E7
616;3.6112951881172225E7
617;3.6112951881172225E7
618;3.6112951881172225E7
619;3.6112951881172225E7
620;3.6112951881172225E7
621;3.6112951881172225E7
622;3.6112951881172225E7
623;3.6112951881172225E7
624;3.6112951881172225E7
625;3.6112951881172225E7
626;3.6112951881172225E7
627;3.6112951881172225E7
628;3.6112951881172225E7
629;3.6112951881172225E7
630;3.6112951881172225E7
631;3.6112951881172225E7
632;3.6112951881172225E7
633;3.6112951881172225E7
634;3.6112951881172225E7
635;3.6112951881172225E7
636;3.6112951881172225E7
637;3.6112951881172225E7
638;3.6112951881172225E7
639;3.6112951881172225E7
640;3.6112951881172225E7
641;3.6112951881172225E7
642;3.6112951881172225E7
643;3.6112951881172225E7
644;3.6112951881172225E7
645;3.6112951881172225E7
646;3.6112951881172225E7
647;3.6112951881172225E7
648;3.6112951881172225E7
649;3.6112951881172225E7
650;3.6112951881172225E7
651;3.6112951881172225E7
652;3.6112951881172225E7
653;3.6112951881172225E7
654;3.6112951881172225E7
655;3.6112951881172225E7
656;3.6112951881172225E7
657;3.6112951881172225E7
658;3.586306150278333E7
659;3.586306150278333E7
660;3.586306139354444E7
661;3.586306139354444E7
662;3.586306139354444E7
663;3.586306139354444E7
664;3.586306139354444E7
665;3.586306139354444E7
666;3.586306139354444E7
667;3.586306139354444E7
668;3.586306139354444E7
669;3.586306139354444E7
670;3.586306139354444E7
671;3.586306139354444E7
672;3.586306139354444E7
673;3.586306139354444E7
674;3.586306139354444E7
675;3.586306139354444E7
676;3.586306139354444E7
677;3.586306139354444E7
678;3.586306139354444E7
679;3.586306139354444E7
680;3.586306139354444E7
681;3.586306139354444E7
682;3.586306139354444E7
683;3.586306139354444E7
684;3.586306139354444E7
685;3.586306139354444E7
686;3.586306139354444E7
687;3.586306139354444E7
688;3.586306139354444E7
689;3.586306139354444E7
690;3.586306139354444E7
691;3.586306139354444E7
692;3.586306139354444E7
693;3.586306139354444E7
694;3.586306139354444E7
695;3.586306139354444E7
696;3.586306139354444E7
697;3.586306139354444E7
698;3.586306139354444E7
699;3.586306139354444E7
700;3.586306139354444E7
701;3.586306139354444E7
702;3.586306139354444E7
703;3.586306139354444E7
704;3.586306139354444E7
705;3.586306139354444E7
706;3.586306139354444E7
707;3.586306139354444E7
708;3.586306139354444E7
709;3.586306139354444E7
710;3.586306139354444E7
711;3.586306139354444E7
712;3.586306139354444E7
713;3.586306139354444E7
714;3.586306139354444E7
715;3.586306139354444E7
716;3.586306139354444E7
717;3.586306139354444E7
718;3.586306139354444E7
719;3.586306139354444E7
720;3.586306139354444E7
721;3.586306139354444E7
722;3.586306139354444E7
723;3.586306139354444E7
724;3.586306139354444E7
725;3.586306139354444E7
726;3.586306139354444E7
727;3.586306139354444E7
728;3.586306139354444E7
729;3.586306139354444E7
730;3.586306139354444E7
731;3.586306139354444E7
732;3.586306139354444E7
733;3.586306139354444E7
734;3.586306139354444E7
735;3.586306139354444E7
736;3.586306139354444E7
737;3.586306139354444E7
738;3.586306139354444E7
739;3.5863058673372224E7
740;3.5863058673372224E7
741;3.5863058673372224E7
742;3.5863058673372224E7
743;3.5863058673372224E7
744;3.5863058673372224E7
745;3.5863058673372224E7
746;3.5863058673372224E7
747;3.5863058673372224E7
748;3.5863058673372224E7
749;3.5863058673372224E7
750;3.5863058673372224E7
751;3.5863058673372224E7
752;3.5863058673372224E7
753;3.5863058673372224E7
754;3.5863058673372224E7
755;3.5863058673372224E7
756;3.5863058673372224E7
757;3.5863058673372224E7
758;3.5863058673372224E7
759;3.5863058673372224E7
760;3.5863058673372224E7
761;3.5863058673372224E7
762;3.5863058673372224E7
763;3.5863058673372224E7
764;3.5863058673372224E7
765;3.5863058673372224E7
766;3.5863058673372224E7
767;3.5863058673372224E7
768;3.5863058673372224E7
769;3.5863058673372224E7
770;3.5863058673372224E7
771;3.5863058673372224E7
772;3.5863058673372224E7
773;3.5863058673372224E7
774;3.5863058673372224E7
775;3.5863058673372224E7
776;3.5863058673372224E7
777;3.5863058673372224E7
778;3.5863058673372224E7
779;3.5863058673372224E7
780;3.5863058673372224E7
781;3.5863058673372224E7
782;3.5863058673372224E7
783;3.5863058673372224E7
784;3.5863058673372224E7
785;3.5863058673372224E7
786;3.5863058673372224E7
787;3.5863058673372224E7
788;3.5863058673372224E7
789;3.5863058673372224E7
790;3.5863058673372224E7
791;3.5863058673372224E7
792;3.5863058673372224E7
793;3.5863058673372224E7
794;3.5863058673372224E7
795;3.5863058673372224E7
796;3.5863058673372224E7
797;3.5863058673372224E7
798;3.5863058673372224E7
799;3.5863058673372224E7
800;3.5863058673372224E7
