*;;;;;;;;;;
* Ergebnis;;;;;;;;;;
*;;;;;;;;;;
Ergebnis: Iteration; Kosten; Fahrzeuge; Ladestationen
567;3.6213030344005555E7;78;20
568;3.6213030344005555E7;78;20
569;3.6213030344005555E7;78;20
570;3.6213030344005555E7;78;20
571;3.6213030344005555E7;78;20
572;3.6213030344005555E7;78;20
573;3.6213030344005555E7;78;20
574;3.6213030344005555E7;78;20
575;3.6213030344005555E7;78;20
576;3.6213030344005555E7;78;20
577;3.6213030344005555E7;78;20
578;3.6213030344005555E7;78;20
579;3.6213030344005555E7;78;20
580;3.6213030344005555E7;78;20
581;3.6213030344005555E7;78;20
582;3.6213030344005555E7;78;20
583;3.6213030344005555E7;78;20
584;3.6213030344005555E7;78;20
585;3.6213030344005555E7;78;20
586;3.6213030344005555E7;78;20
587;3.6213030344005555E7;78;20
588;3.6213030344005555E7;78;20
589;3.6213030344005555E7;78;20
590;3.6213030344005555E7;78;20
591;3.6213030344005555E7;78;20
592;3.6213030344005555E7;78;20
593;3.6213030344005555E7;78;20
594;3.6213030344005555E7;78;20
595;3.6213030344005555E7;78;20
596;3.6213030344005555E7;78;20
597;3.6213030344005555E7;78;20
598;3.6213030344005555E7;78;20
599;3.6213030344005555E7;78;20
600;3.6213030344005555E7;78;20
601;3.6213030344005555E7;78;20
602;3.6213030344005555E7;78;20
603;3.6213030344005555E7;78;20
604;3.6213030344005555E7;78;20
605;3.6213030344005555E7;78;20
606;3.6213030344005555E7;78;20
607;3.6213030344005555E7;78;20
608;3.6213030344005555E7;78;20
609;3.6213030344005555E7;78;20
610;3.6213030344005555E7;78;20
611;3.6213030344005555E7;78;20
612;3.6213030344005555E7;78;20
613;3.6213030344005555E7;78;20
614;3.6213030344005555E7;78;20
615;3.6213030344005555E7;78;20
616;3.6213030344005555E7;78;20
617;3.6213030344005555E7;78;20
618;3.6213030344005555E7;78;20
619;3.6213030344005555E7;78;20
620;3.6213030344005555E7;78;20
621;3.6213030344005555E7;78;20
622;3.6213030344005555E7;78;20
623;3.6213030344005555E7;78;20
624;3.6213030344005555E7;78;20
625;3.6213030344005555E7;78;20
626;3.6213030344005555E7;78;20
627;3.6213030344005555E7;78;20
628;3.6213030344005555E7;78;20
629;3.6213030344005555E7;78;20
630;3.6213030344005555E7;78;20
631;3.6213030344005555E7;78;20
632;3.6213030344005555E7;78;20
633;3.6213030344005555E7;78;20
634;3.6213030344005555E7;78;20
635;3.6213030344005555E7;78;20
636;3.6213030344005555E7;78;20
637;3.6213030344005555E7;78;20
638;3.6213030344005555E7;78;20
639;3.6213030344005555E7;78;20
640;3.6213030344005555E7;78;20
641;3.6213030344005555E7;78;20
642;3.6213030344005555E7;78;20
643;3.621303014362222E7;78;20
644;3.621303014362222E7;78;20
645;3.621303014362222E7;78;20
646;3.621303014362222E7;78;20
647;3.621303014362222E7;78;20
648;3.621303014362222E7;78;20
649;3.621303014362222E7;78;20
650;3.621303014362222E7;78;20
651;3.621303014362222E7;78;20
652;3.621303014362222E7;78;20
653;3.621303014362222E7;78;20
654;3.621303014362222E7;78;20
655;3.621303014362222E7;78;20
656;3.621303014362222E7;78;20
657;3.621303014362222E7;78;20
658;3.621303014362222E7;78;20
659;3.621303014362222E7;78;20
660;3.621303014362222E7;78;20
661;3.6213028092366666E7;78;20
662;3.621301737411667E7;78;20
663;3.621301737411667E7;78;20
664;3.621301737411667E7;78;20
665;3.621301737411667E7;78;20
666;3.621301737411667E7;78;20
667;3.621301737411667E7;78;20
668;3.621301737411667E7;78;20
669;3.621301737411667E7;78;20
670;3.621301737411667E7;78;20
671;3.621301737411667E7;78;20
672;3.621301737411667E7;78;20
673;3.621301737411667E7;78;20
674;3.621301737411667E7;78;20
675;3.621301737411667E7;78;20
676;3.621301737411667E7;78;20
677;3.621301737411667E7;78;20
678;3.621301737411667E7;78;20
679;3.621301737411667E7;78;20
680;3.621301737411667E7;78;20
681;3.621301737411667E7;78;20
682;3.621301737411667E7;78;20
683;3.621301737411667E7;78;20
684;3.621301737411667E7;78;20
685;3.621301737411667E7;78;20
686;3.621301737411667E7;78;20
687;3.621301737411667E7;78;20
688;3.621301737411667E7;78;20
689;3.621301737411667E7;78;20
690;3.621301737411667E7;78;20
691;3.621301737411667E7;78;20
692;3.621301737411667E7;78;20
693;3.621301737411667E7;78;20
694;3.621301737411667E7;78;20
695;3.621301737411667E7;78;20
696;3.621301737411667E7;78;20
697;3.621301737411667E7;78;20
698;3.621301737411667E7;78;20
699;3.621301737411667E7;78;20
700;3.621301737411667E7;78;20
701;3.621301737411667E7;78;20
702;3.621301737411667E7;78;20
703;3.621301737411667E7;78;20
704;3.621301737411667E7;78;20
705;3.621301737411667E7;78;20
706;3.621301737411667E7;78;20
707;3.621301737411667E7;78;20
708;3.621301737411667E7;78;20
709;3.621301737411667E7;78;20
710;3.621301737411667E7;78;20
711;3.621301737411667E7;78;20
712;3.621301737411667E7;78;20
713;3.621301737411667E7;78;20
714;3.621301737411667E7;78;20
715;3.621301737411667E7;78;20
716;3.621301737411667E7;78;20
717;3.621301737411667E7;78;20
718;3.621301737411667E7;78;20
719;3.621301737411667E7;78;20
720;3.621301737411667E7;78;20
721;3.621301737411667E7;78;20
722;3.621301737411667E7;78;20
723;3.621301737411667E7;78;20
724;3.621301737411667E7;78;20
725;3.621301737411667E7;78;20
726;3.621301737411667E7;78;20
727;3.621301737411667E7;78;20
728;3.621301737411667E7;78;20
729;3.621301737411667E7;78;20
730;3.621301737411667E7;78;20
731;3.621301737411667E7;78;20
732;3.621301737411667E7;78;20
